 decodeOneMessage144(): 0,000067 seg 
 decodeOneMessage144(): 0,000039 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000016 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000043 seg 
 decodeOneMessage144(): 0,000036 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000056 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000099 seg 
 decodeOneMessage144(): 0,000041 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000070 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000044 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000065 seg 
 decodeOneMessage144(): 0,000040 seg 
 decodeOneMessage144(): 0,000038 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000046 seg 
 decodeOneMessage144(): 0,000040 seg 
 decodeOneMessage144(): 0,000043 seg 
 decodeOneMessage144(): 0,000088 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000036 seg 
 decodeOneMessage144(): 0,000027 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000036 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000017 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000014 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000037 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000031 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000047 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000022 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000019 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000017 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000017 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000037 seg 
 decodeOneMessage144(): 0,000038 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000020 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000037 seg 
 decodeOneMessage144(): 0,000033 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000021 seg 
 decodeOneMessage144(): 0,000045 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000025 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000030 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000032 seg 
 decodeOneMessage144(): 0,000029 seg 
 decodeOneMessage144(): 0,000026 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000028 seg 
 decodeOneMessage144(): 0,000018 seg 
 decodeOneMessage144(): 0,000024 seg 
 decodeOneMessage144(): 0,000023 seg 
 decodeOneMessage144(): 0,000041 seg 
